day,usage
2013-01-01,1739
2013-01-16,2215
2013-03-02,1351
2013-04-24,1755
2013-07-20,2929
2013-07-21,1257
2013-09-21,61
2013-11-19,1653
2013-12-25,1179
2014-03-17,1808
2014-05-11,1199
2014-06-10,1874
2014-07-22,72
2014-09-09,2683
2014-10-25,1225
2014-12-22,2578
2015-03-10,317
2015-03-19,1882
2015-06-02,2706
2015-06-23,1158
2015-09-25,122
2015-10-01,1305
2015-11-19,2148
2016-01-16,881
2016-04-01,183
2016-04-23,1236
2016-06-19,834
2016-09-13,1402
2016-10-10,1772
2016-11-19,2009
2016-12-26,906
2017-02-23,1295
2017-04-15,867
2017-06-23,659
2017-07-17,1304
2017-09-02,878
2017-11-19,1734
2017-12-17,795
2018-02-04,218
2018-03-29,1700
2018-05-14,912
2018-08-15,306
2018-08-17,1094
2018-11-19,2959
2018-11-24,1064
2019-01-24,7245
2019-03-04,1202
2019-04-30,1766
2019-06-17,1296
2019-08-02,1571
